Asset_ID,Asset_Type,Acquisition_Date,Acquisition_Cost,Depreciation_Method,Depreciation_Rate,Book_Value,Useful_Life,Years_in_Service,Maintenance_Cost,Repair_Frequency,Condition_Score,Utilization_Percentage,Retired
A16251,Furniture,2015-07-08,184096,Straight-Line,18,-122582.72,16,9,15891,0,2,56,1
A16252,Furniture,2021-05-30,40072,Declining Balance,16,18553.88,17,3,19195,12,4,95,0
A16253,Furniture,2018-04-17,82906,Straight-Line,8,39949.34,18,6,19274,10,5,46,0
A16254,Building,2011-05-16,63528,Declining Balance,19,-98247.36,20,13,4850,7,10,35,0
A16255,Machine,2023-01-27,135958,Declining Balance,8,117542.21,30,1,5118,12,7,84,0
A16256,Equipment,2022-10-07,73279,Declining Balance,7,63019.94,11,2,11860,10,1,65,1
A16257,Building,2009-06-08,39266,Declining Balance,18,-69153.34,24,15,9044,10,5,21,0
A16258,Furniture,2023-11-17,212814,Declining Balance,11,192034.02,10,0,7649,14,5,40,0
A16259,Vehicle,2024-06-29,228802,Declining Balance,20,216390.28,9,0,2530,10,8,38,0
A16260,Machine,2020-06-25,45345,Declining Balance,16,14256.96,27,4,19665,13,6,50,0
A16261,Machine,2007-02-26,227227,Declining Balance,14,-333357.57,16,17,8883,14,4,53,1
A16262,Vehicle,2018-08-28,33988,Straight-Line,6,21523.25,19,6,10780,13,8,91,0
A16263,Building,2019-06-22,82417,Straight-Line,10,38769.86,14,5,3101,2,1,32,1
A16264,Machine,2020-06-07,43287,Declining Balance,13,18896.85,13,4,8585,8,6,85,0
A16265,Equipment,2016-08-17,186179,Straight-Line,9,49742.95,23,8,3918,15,6,25,0
A16266,Furniture,2024-06-10,219886,Straight-Line,17,207801.31,18,0,19478,4,5,75,0
A16267,Equipment,2011-04-13,44954,Declining Balance,7,2494.02,28,13,16055,13,3,9,1
A16268,Machine,2008-10-02,141261,Declining Balance,18,-266127.98,17,16,19641,0,1,54,1
A16269,Equipment,2021-12-15,120946,Straight-Line,11,83548.83,6,2,5649,4,10,41,0
A16270,Machine,2018-01-24,218886,Straight-Line,7,116165.5,23,6,1008,11,7,0,0
A16271,Building,2008-05-26,133032,Declining Balance,11,-106596.9,18,16,11931,15,5,32,0
A16272,Vehicle,2009-11-02,201525,Declining Balance,5,51016.19,29,14,10027,3,4,90,0
A16273,Machine,2006-08-24,56718,Declining Balance,18,-128390.9,16,18,2790,5,5,38,1
A16274,Vehicle,2006-12-13,66264,Straight-Line,18,-146372.64,9,17,4319,5,2,78,1
A16275,Machine,2021-05-20,88657,Declining Balance,12,52659.83,26,3,10662,2,2,8,1
A16276,Building,2023-09-21,116985,Declining Balance,14,99889.16,13,1,10420,9,2,42,1
A16277,Furniture,2018-02-21,32241,Straight-Line,17,-4083.57,5,6,14649,14,3,24,1
A16278,Equipment,2007-09-08,240496,Declining Balance,8,-88318.04,7,17,12567,10,7,37,1
A16279,Building,2023-05-18,118171,Declining Balance,5,109963.78,16,1,3146,14,7,6,0
A16280,Building,2023-07-16,112261,Straight-Line,10,98482.12,15,1,14277,1,9,48,0
A16281,Machine,2005-12-03,222378,Declining Balance,10,-196911.15,21,18,5221,7,8,84,0
A16282,Building,2021-02-26,200427,Straight-Line,12,113578.96,27,3,19851,8,3,50,1
A16283,Equipment,2005-01-25,82402,Straight-Line,5,1196.52,28,19,3442,8,5,58,0
A16284,Vehicle,2012-01-12,53555,Declining Balance,14,-41984.19,7,12,13568,13,10,32,1
A16285,Machine,2017-05-20,58192,Declining Balance,15,-6281.55,14,7,317,5,7,68,0
A16286,Vehicle,2015-12-12,35430,Declining Balance,10,4164.24,9,8,19603,15,7,89,0
A16287,Furniture,2006-06-16,140547,Declining Balance,18,-322934.65,21,18,19742,7,1,74,1
A16288,Equipment,2021-06-13,25842,Declining Balance,5,21555.06,12,3,14134,8,2,86,1
A16289,Vehicle,2017-07-31,105513,Declining Balance,19,-38609.09,8,7,6972,4,10,67,0
A16290,Vehicle,2019-04-01,191487,Straight-Line,16,22348.89,8,5,18857,0,7,27,0
A16291,Machine,2008-09-30,246189,Declining Balance,15,-345676.34,7,16,17837,8,10,86,1
A16292,Building,2013-06-24,11140,Straight-Line,10,-1440.57,25,11,8723,10,1,44,1
A16293,Building,2007-12-06,91009,Declining Balance,5,14349.5,8,16,15898,15,5,83,1
A16294,Vehicle,2011-05-10,76986,Straight-Line,16,-88308.22,8,13,11034,12,7,60,1
A16295,Building,2015-08-10,178104,Declining Balance,18,-115694.41,27,9,11736,12,7,93,0
A16296,Building,2017-04-26,188024,Straight-Line,17,-50174.08,11,7,19976,10,3,95,1
A16297,Building,2005-03-14,75566,Straight-Line,17,-175938.35,6,19,4062,4,9,33,1
A16298,Machine,2019-04-24,47859,Declining Balance,10,21739.79,23,5,19930,11,7,45,0
A16299,Machine,2006-10-31,44596,Straight-Line,8,-19426.75,18,17,18580,1,2,19,1
A16300,Equipment,2019-06-09,99343,Straight-Line,13,30488.77,18,5,9445,3,8,52,0
A16301,Building,2021-01-02,40115,Straight-Line,19,11444.31,29,3,15016,1,6,48,0
A16302,Building,2024-02-13,58300,Straight-Line,11,54153.51,9,0,1683,0,5,67,0
A16303,Equipment,2021-10-10,245370,Straight-Line,18,113233.21,11,2,13854,4,1,63,1
A16304,Vehicle,2007-10-04,239670,Declining Balance,19,-535337.42,18,17,19724,2,4,18,0
A16305,Vehicle,2013-09-27,149118,Declining Balance,15,-97662.08,18,11,13970,1,3,89,1
A16306,Equipment,2023-08-27,99362,Declining Balance,9,89414.91,23,1,10931,6,2,99,1
A16307,Furniture,2015-01-21,13283,Declining Balance,15,-6073.79,13,9,108,13,6,54,0
A16308,Furniture,2006-09-27,161792,Declining Balance,15,-275977.26,24,18,15475,6,8,94,0
A16309,Furniture,2010-08-10,129634,Straight-Line,8,-17289.27,11,14,12471,1,3,38,1
A16310,Equipment,2020-02-05,45816,Straight-Line,20,3012.56,24,4,13508,10,6,55,0
A16311,Machine,2023-05-30,125887,Straight-Line,19,93449.54,7,1,16303,8,1,83,1
A16312,Machine,2011-03-07,44640,Declining Balance,9,-9977.35,29,13,3493,1,5,68,0
A16313,Vehicle,2024-06-30,186069,Straight-Line,14,179074.84,8,0,5360,15,7,70,0
A16314,Vehicle,2005-01-29,72358,Declining Balance,17,-169952.09,29,19,13890,12,7,83,0
A16315,Equipment,2005-10-08,66815,Straight-Line,7,-22087.39,25,19,16181,15,1,64,1
A16316,Machine,2005-06-09,192673,Straight-Line,5,6360.85,23,19,16420,9,4,3,0
A16317,Vehicle,2024-01-08,164837,Declining Balance,16,145183.01,21,0,4474,14,7,57,0
A16318,Vehicle,2012-12-28,210967,Declining Balance,18,-236398.64,7,11,11383,4,3,88,1
A16319,Building,2013-11-18,165393,Straight-Line,9,3285.2,25,10,6551,5,8,77,0
A16320,Machine,2016-01-02,230747,Straight-Line,14,-52471.24,13,8,1563,9,8,89,0
A16321,Building,2008-08-03,219465,Declining Balance,13,-242337.46,14,16,17961,15,8,71,1
A16322,Machine,2016-06-23,68625,Straight-Line,19,-39507.32,17,8,10923,1,1,54,1
A16323,Furniture,2013-02-10,95070,Straight-Line,13,-49040.49,18,11,7099,7,7,90,0
A16324,Equipment,2005-01-11,6722,Straight-Line,19,-18499.68,6,19,12051,3,10,28,1
A16325,Building,2016-05-14,92596,Straight-Line,5,53693.0,25,8,2641,12,6,59,0
A16326,Furniture,2014-06-18,59473,Straight-Line,18,-50892.59,16,10,7520,6,7,21,0
A16327,Equipment,2022-12-11,111215,Declining Balance,14,82847.56,8,1,9487,10,3,46,1
A16328,Machine,2013-12-30,85392,Declining Balance,6,30184.32,21,10,16910,12,5,28,0
A16329,Building,2004-11-19,19358,Declining Balance,7,-7598.41,20,19,77,9,4,19,0
A16330,Furniture,2011-03-05,44293,Straight-Line,19,-70160.11,17,13,11180,12,2,42,1
A16331,Furniture,2021-05-29,91769,Declining Balance,16,42450.08,17,3,12634,14,2,62,1
A16332,Furniture,2005-10-18,28975,Straight-Line,6,-4023.16,27,18,11202,11,9,48,0
A16333,Vehicle,2011-02-06,172456,Declining Balance,19,-275594.14,21,13,2935,11,8,24,0
A16334,Furniture,2007-05-25,192645,Declining Balance,13,-242637.7,6,17,18446,3,2,84,1
A16335,Furniture,2008-03-23,73481,Declining Balance,10,-48135.09,6,16,7767,3,9,57,1
A16336,Equipment,2011-07-18,37862,Declining Balance,6,7806.83,22,13,11652,5,10,10,0
A16337,Machine,2023-05-19,131015,Straight-Line,14,105587.32,6,1,16860,7,4,45,0
A16338,Equipment,2018-08-19,146383,Declining Balance,6,92481.97,28,6,19749,7,10,75,0
A16339,Machine,2020-07-02,190057,Declining Balance,10,108983.37,16,4,12353,3,6,80,0
A16340,Machine,2021-07-16,178790,Declining Balance,8,132627.89,22,3,16490,13,2,57,1
A16341,Vehicle,2015-03-20,28066,Declining Balance,14,-9482.46,29,9,3337,10,9,54,0
A16342,Machine,2020-04-20,167598,Straight-Line,13,70299.33,13,4,18818,0,2,70,1
A16343,Machine,2005-11-02,233981,Declining Balance,16,-475064.77,12,18,6673,11,7,14,1
A16344,Equipment,2020-11-21,55213,Straight-Line,16,20965.81,5,3,3864,5,1,69,1
A16345,Equipment,2016-02-19,126617,Declining Balance,7,50077.89,21,8,16426,8,6,85,0
A16346,Building,2014-05-23,238270,Declining Balance,11,-33808.23,18,10,10979,6,5,20,0
A16347,Furniture,2012-06-09,75071,Declining Balance,16,-73080.08,17,12,7997,1,7,39,0
A16348,Building,2017-10-14,109191,Straight-Line,16,-12815.73,20,6,19028,10,9,67,0
A16349,Building,2012-04-26,71211,Declining Balance,8,257.53,30,12,15944,9,10,61,0
A16350,Furniture,2006-02-14,94550,Straight-Line,10,-81831.08,9,18,7101,0,9,68,1
A16351,Furniture,2005-06-18,110628,Declining Balance,12,-145786.49,17,19,10443,12,9,87,1
A16352,Building,2021-08-20,95050,Declining Balance,16,47426.04,23,3,11598,3,7,47,0
A16353,Vehicle,2007-01-14,23364,Straight-Line,10,-18083.1,8,17,14561,8,7,60,1
A16354,Building,2015-06-23,116520,Declining Balance,19,-89279.86,14,9,9893,4,7,26,0
A16355,Vehicle,2013-09-02,32014,Straight-Line,13,-14187.9,26,11,1468,3,7,4,0
A16356,Equipment,2008-09-29,171265,Declining Balance,12,-158183.17,22,16,19876,14,9,57,0
A16357,Furniture,2024-10-03,45074,Declining Balance,13,45025.84,21,0,2676,2,4,1,0
A16358,Furniture,2010-09-25,152957,Straight-Line,19,-255102.94,22,14,2452,1,7,61,0
A16359,Machine,2009-02-25,170792,Declining Balance,13,-176060.82,22,15,3694,1,3,69,1
A16360,Building,2016-04-16,107191,Straight-Line,20,-74593.19,12,8,638,0,4,32,0
A16361,Building,2018-11-16,22110,Straight-Line,15,2565.37,20,5,11806,9,2,22,1
A16362,Equipment,2013-11-22,99277,Declining Balance,11,-19531.73,9,10,236,6,5,94,1
A16363,Vehicle,2009-02-22,247523,Declining Balance,8,-61982.47,29,15,19349,15,9,70,0
A16364,Vehicle,2005-03-27,171742,Declining Balance,14,-298134.7,14,19,14628,14,10,23,1
A16365,Machine,2008-03-27,56354,Straight-Line,5,9750.01,25,16,14292,5,8,99,0
A16366,Furniture,2007-10-12,160142,Straight-Line,19,-357033.3,16,16,15738,11,4,72,0
A16367,Vehicle,2016-03-19,143542,Straight-Line,12,-3838.27,26,8,14756,5,6,93,0
A16368,Vehicle,2008-09-23,117367,Straight-Line,14,-146300.38,18,16,6651,8,4,68,0
A16369,Furniture,2008-01-01,166902,Straight-Line,16,-281072.11,29,16,8907,1,8,54,0
A16370,Equipment,2011-12-07,169387,Declining Balance,16,-178631.35,22,12,7198,5,6,61,0
A16371,Machine,2021-08-04,152433,Straight-Line,9,108870.57,15,3,17262,8,1,32,1
A16372,Machine,2013-03-22,28285,Straight-Line,18,-30523.0,11,11,15349,12,4,8,0
A16373,Machine,2015-11-14,64304,Straight-Line,17,-33002.93,28,8,2012,8,10,15,0
A16374,Building,2011-05-11,107759,Declining Balance,11,-51272.62,20,13,4570,1,4,100,0
A16375,Furniture,2023-10-18,168368,Declining Balance,9,153671.55,5,0,12850,5,6,1,0
A16376,Building,2016-08-11,31995,Straight-Line,9,8501.03,6,8,5968,8,2,94,1
A16377,Building,2019-03-11,14701,Declining Balance,6,9780.8,21,5,4356,3,9,66,0
A16378,Equipment,2008-05-31,146968,Straight-Line,14,-189681.33,22,16,4175,14,6,27,0
A16379,Machine,2013-07-28,95252,Declining Balance,18,-96776.03,26,11,7846,13,7,69,0
A16380,Furniture,2018-03-16,209578,Straight-Line,15,3215.44,5,6,10567,7,2,75,1
A16381,Equipment,2018-04-19,103323,Straight-Line,11,29774.01,5,6,15379,2,9,28,1
A16382,Furniture,2020-03-13,197426,Straight-Line,5,152315.51,24,4,6711,5,7,68,0
A16383,Building,2016-05-06,79532,Straight-Line,7,32629.91,23,8,1803,11,8,25,0
A16384,Furniture,2018-08-11,183819,Declining Balance,14,25321.7,15,6,9700,15,9,73,0
A16385,Furniture,2020-03-25,197233,Declining Balance,14,71954.92,27,4,18973,14,9,33,0
A16386,Furniture,2024-01-28,192068,Straight-Line,19,166872.89,24,0,6705,0,6,5,0
A16387,Building,2011-01-01,118271,Declining Balance,8,-12040.96,28,13,8564,15,6,1,0
A16388,Furniture,2012-01-17,131571,Straight-Line,5,47834.17,28,12,9905,2,3,62,1
A16389,Building,2020-09-24,83330,Declining Balance,14,36249.69,25,4,8663,4,7,25,0
A16390,Furniture,2018-01-05,197542,Straight-Line,10,64079.38,5,6,5209,8,8,8,1
A16391,Machine,2022-07-09,67980,Straight-Line,17,42017.23,30,2,12159,6,9,70,0
A16392,Equipment,2006-12-29,149773,Declining Balance,13,-196481.66,24,17,15475,2,3,72,1
A16393,Building,2019-11-22,20807,Straight-Line,18,2542.44,19,4,5460,10,7,59,0
A16394,Furniture,2013-05-26,36773,Declining Balance,17,-34321.8,30,11,4553,3,1,3,1
A16395,Equipment,2021-03-02,109594,Straight-Line,7,81976.31,10,3,15704,4,9,63,0
A16396,Machine,2013-03-18,170963,Straight-Line,11,-46464.46,20,11,2392,12,10,38,0
A16397,Vehicle,2006-06-30,205135,Straight-Line,13,-282406.26,21,18,7219,4,5,87,0
A16398,Building,2004-10-18,136678,Declining Balance,16,-300272.2,28,19,3303,6,8,43,0
A16399,Equipment,2014-01-16,61629,Declining Balance,11,-11103.35,22,10,9915,1,8,76,0
A16400,Machine,2022-06-10,93063,Declining Balance,9,73580.96,12,2,18508,14,7,60,0
A16401,Furniture,2007-01-27,64496,Straight-Line,7,-15433.1,21,17,5917,4,6,56,0
A16402,Building,2021-05-03,45946,Declining Balance,12,27033.87,7,3,16950,11,7,38,0
A16403,Vehicle,2021-06-28,127249,Straight-Line,20,43857.33,23,3,6759,5,7,61,0
A16404,Vehicle,2010-03-26,193939,Declining Balance,16,-257317.2,17,14,16281,15,6,84,0
A16405,Furniture,2005-08-21,199923,Straight-Line,8,-106194.72,24,19,5855,11,8,81,0
A16406,Equipment,2006-11-04,137585,Straight-Line,8,-59813.67,6,17,927,12,9,38,1
A16407,Vehicle,2007-09-20,7215,Straight-Line,14,-10014.82,10,17,3989,11,5,91,1
A16408,Equipment,2018-10-22,140439,Declining Balance,5,98576.64,15,5,14438,3,8,18,0
A16409,Equipment,2013-03-17,129187,Straight-Line,19,-154666.92,9,11,10188,6,2,25,1
A16410,Furniture,2007-03-27,100813,Declining Balance,7,-22982.6,25,17,5467,15,4,85,0
A16411,Building,2013-07-27,140047,Straight-Line,13,-63911.31,21,11,1779,1,2,40,1
A16412,Building,2004-12-17,169979,Straight-Line,20,-503696.68,18,19,5927,3,8,46,1
A16413,Building,2024-08-26,66114,Declining Balance,7,65594.14,29,0,6375,9,8,66,0
A16414,Equipment,2017-04-24,28660,Straight-Line,11,5149.38,9,7,861,11,8,99,0
A16415,Vehicle,2011-04-02,232343,Declining Balance,19,-364644.83,15,13,668,1,5,51,0
A16416,Building,2016-08-22,231379,Straight-Line,15,-50744.9,20,8,16267,7,5,35,0
A16417,Building,2019-05-30,113639,Declining Balance,6,77100.17,16,5,18764,10,5,24,0
A16418,Building,2024-08-11,241739,Declining Balance,14,236546.58,13,0,16559,11,4,49,0
A16419,Equipment,2018-01-04,192345,Declining Balance,7,101342.1,28,6,17244,13,2,16,1
A16420,Machine,2012-08-24,116621,Straight-Line,8,3489.04,16,12,14066,13,3,99,1
A16421,Machine,2009-07-16,121258,Straight-Line,16,-174332.46,8,15,9458,6,5,70,1
A16422,Vehicle,2014-11-13,60346,Declining Balance,18,-47235.21,17,9,1854,10,4,36,0
A16423,Furniture,2010-04-07,123916,Straight-Line,19,-217698.34,5,14,606,3,2,52,1
A16424,Vehicle,2016-02-18,5152,Declining Balance,18,-2858.87,13,8,11320,0,9,57,0
A16425,Building,2011-10-26,141100,Declining Balance,8,-5149.18,8,12,2701,13,10,41,1
A16426,Building,2009-10-04,231613,Declining Balance,16,-324867.37,16,15,9123,3,10,42,0
A16427,Furniture,2020-10-21,194961,Declining Balance,8,133171.72,5,3,8611,4,9,57,0
A16428,Equipment,2023-04-23,212623,Declining Balance,16,163038.15,21,1,13535,5,6,53,0
A16429,Equipment,2014-10-04,44179,Declining Balance,17,-31028.18,10,10,18116,4,4,17,0
A16430,Furniture,2021-03-08,212028,Declining Balance,8,151242.77,21,3,5868,12,4,27,0
A16431,Vehicle,2023-12-16,231233,Declining Balance,10,212544.31,15,0,19082,11,3,57,1
A16432,Machine,2006-01-12,25933,Straight-Line,16,-51846.11,8,18,17722,14,10,77,1
A16433,Building,2019-10-02,228014,Straight-Line,12,90755.82,11,5,5390,4,8,20,0
A16434,Machine,2020-11-03,213999,Straight-Line,16,79572.45,24,3,2788,10,5,13,0
A16435,Building,2016-03-04,219917,Straight-Line,8,68662.3,13,8,12050,6,5,50,0
A16436,Vehicle,2010-06-21,146373,Straight-Line,8,-21125.83,17,14,11520,8,9,71,0
A16437,Building,2010-03-02,28137,Straight-Line,18,-45848.66,6,14,14008,7,6,47,1
A16438,Furniture,2005-08-23,138078,Declining Balance,12,-178964.22,24,19,6561,4,6,88,0
A16439,Machine,2012-05-30,70486,Straight-Line,20,-103778.57,9,12,18827,11,9,17,1
A16440,Machine,2021-09-05,228917,Straight-Line,8,172371.37,23,3,13605,8,1,73,1
A16441,Machine,2024-01-07,78675,Straight-Line,20,66906.08,10,0,19495,3,5,93,0
A16442,Machine,2007-08-03,41968,Straight-Line,17,-80668.25,24,17,19956,1,4,11,0
A16443,Equipment,2007-10-30,119143,Declining Balance,7,-22203.03,30,16,8202,5,7,11,0
A16444,Building,2023-01-03,210856,Straight-Line,15,155224.68,19,1,13551,9,2,59,1
A16445,Building,2009-02-13,230232,Straight-Line,7,-22064.43,23,15,18332,9,3,35,1
A16446,Building,2007-11-09,57559,Declining Balance,5,8862.51,27,16,960,7,7,37,0
A16447,Vehicle,2018-09-14,221699,Declining Balance,12,60326.42,14,6,6413,9,3,81,1
A16448,Equipment,2017-09-23,43527,Declining Balance,11,9814.44,27,7,15484,1,9,49,0
A16449,Machine,2006-09-03,103236,Straight-Line,20,-270563.17,13,18,18410,4,10,56,1
A16450,Building,2024-08-01,36427,Declining Balance,18,35241.38,27,0,5027,11,3,33,1
A16451,Machine,2015-04-22,219827,Straight-Line,12,-29872.38,12,9,9268,1,1,51,1
A16452,Building,2018-03-04,9163,Straight-Line,8,4326.94,28,6,4051,12,1,65,1
A16453,Machine,2012-02-07,157220,Straight-Line,14,-121683.97,24,12,6843,15,4,12,0
A16454,Equipment,2009-05-21,54333,Straight-Line,8,-12557.62,17,15,19970,7,1,22,1
A16455,Equipment,2016-06-21,77209,Declining Balance,8,25950.69,15,8,14831,13,1,90,1
A16456,Furniture,2021-12-20,15467,Declining Balance,20,6813.96,13,2,5746,15,2,47,1
A16457,Equipment,2015-11-01,184492,Declining Balance,9,36099.78,11,8,3050,4,3,95,1
A16458,Building,2024-04-01,107573,Straight-Line,16,98707.81,27,0,14398,12,6,55,0
A16459,Building,2007-12-31,79261,Declining Balance,6,-529.85,7,16,14298,9,8,75,1
A16460,Furniture,2022-04-05,100783,Declining Balance,12,70465.26,8,2,796,8,2,26,1
A16461,Building,2006-03-22,18808,Straight-Line,12,-23072.52,26,18,3175,3,7,79,0
A16462,Building,2018-11-29,225718,Declining Balance,7,133167.44,30,5,6626,7,5,11,0
A16463,Vehicle,2020-06-05,68630,Declining Balance,18,15019.63,22,4,2077,4,8,86,0
A16464,Vehicle,2019-04-22,226722,Declining Balance,7,140021.02,24,5,14467,3,4,98,0
A16465,Machine,2010-10-22,30723,Declining Balance,16,-37934.91,7,13,5116,6,8,65,1
A16466,Machine,2018-07-29,156225,Declining Balance,9,69128.49,7,6,2812,15,10,38,0
A16467,Building,2014-07-14,214232,Straight-Line,18,-180577.03,14,10,11284,4,10,38,0
A16468,Furniture,2005-06-04,121552,Straight-Line,5,3929.63,10,19,14038,0,9,4,1
A16469,Furniture,2014-03-17,230280,Declining Balance,8,35658.7,30,10,6729,7,9,10,0
A16470,Machine,2011-08-13,134348,Declining Balance,6,28275.65,8,13,801,11,5,34,1
A16471,Machine,2018-10-18,28280,Straight-Line,6,18145.69,14,5,15391,3,8,61,0
A16472,Building,2020-07-25,53456,Declining Balance,18,13016.9,30,4,19927,11,3,65,1
A16473,Furniture,2016-04-15,139901,Declining Balance,6,68700.97,11,8,1847,10,5,45,0
A16474,Machine,2024-01-05,67938,Declining Balance,8,63843.11,22,0,16476,3,3,94,1
A16475,Machine,2005-09-16,118949,Declining Balance,11,-130550.6,29,19,19639,12,4,23,0
A16476,Building,2023-11-25,82599,Declining Balance,7,77593.27,9,0,18182,2,3,22,1
A16477,Building,2017-07-07,54073,Straight-Line,8,22689.92,18,7,9764,15,6,94,0
A16478,Equipment,2019-06-28,35420,Straight-Line,17,3630.31,17,5,13391,9,7,58,0
A16479,Furniture,2016-03-11,154647,Declining Balance,18,-84136.44,18,8,67,9,5,60,0
A16480,Vehicle,2016-06-27,94027,Straight-Line,18,-46147.94,18,8,11952,15,4,75,0
A16481,Building,2011-09-29,179998,Declining Balance,8,-7633.89,21,13,7403,6,5,35,0
A16482,Vehicle,2012-05-31,64117,Declining Balance,12,-30972.9,30,12,2500,3,10,0,0
A16483,Vehicle,2011-04-18,78400,Straight-Line,19,-122389.92,25,13,11368,14,3,68,1
A16484,Machine,2020-03-23,104774,Declining Balance,14,38143.48,22,4,7693,6,5,26,0
A16485,Building,2011-03-16,5411,Straight-Line,14,-4868.71,16,13,15617,0,10,7,0
A16486,Furniture,2020-03-15,211023,Declining Balance,12,95440.21,12,4,15518,4,10,44,0
A16487,Building,2007-12-11,9508,Declining Balance,19,-20900.93,24,16,10879,0,5,23,0
A16488,Equipment,2007-08-04,76289,Straight-Line,20,-185936.15,28,17,15719,2,2,59,1
A16489,Vehicle,2022-01-18,35503,Declining Balance,17,19099.64,5,2,8924,13,1,61,1
A16490,Building,2006-06-27,214144,Declining Balance,20,-569212.35,19,18,11869,13,9,2,0
A16491,Furniture,2013-05-23,201739,Declining Balance,13,-96735.23,28,11,15741,14,3,99,1
A16492,Vehicle,2012-06-29,90833,Declining Balance,10,-20704.95,5,12,846,10,5,96,1
A16493,Furniture,2005-11-12,204879,Straight-Line,7,-66352.73,23,18,1226,5,7,84,0
A16494,Furniture,2005-03-08,106327,Declining Balance,20,-310358.32,23,19,16558,7,6,92,0
A16495,Building,2009-07-29,237274,Declining Balance,9,-87316.83,18,15,18032,7,8,37,0
A16496,Equipment,2016-11-04,30775,Declining Balance,9,8821.89,26,7,8292,12,8,72,0
A16497,Machine,2016-06-02,113017,Straight-Line,15,-28548.4,9,8,3366,13,6,99,0
A16498,Furniture,2008-08-07,102191,Declining Balance,12,-96165.93,27,16,4630,10,8,13,0
A16499,Machine,2012-02-27,205098,Straight-Line,17,-234795.07,24,12,17108,2,1,19,1
A16500,Equipment,2023-05-05,79148,Straight-Line,13,64489.36,24,1,7475,0,5,26,0
A16501,Equipment,2022-11-20,217788,Straight-Line,5,197321.89,29,1,576,15,4,27,0
A16502,Machine,2018-07-27,195449,Straight-Line,7,110624.13,29,6,18886,13,1,97,1
A16503,Building,2011-07-25,40580,Straight-Line,9,-7669.06,28,13,19735,2,8,86,0
A16504,Equipment,2010-02-05,24397,Straight-Line,9,-7829.1,16,14,18268,4,9,84,0
A16505,Building,2020-07-22,142949,Declining Balance,8,94792.81,25,4,7622,14,6,8,0
A16506,Equipment,2010-01-26,6042,Straight-Line,6,711.47,22,14,5914,9,9,33,0
A16507,Building,2009-03-01,56007,Straight-Line,8,-13938.84,15,15,5947,4,10,1,0
A16508,Vehicle,2017-12-28,183199,Straight-Line,15,-3061.68,13,6,13319,0,7,17,0
A16509,Machine,2021-06-02,239542,Straight-Line,5,199443.33,28,3,9429,10,2,33,1
A16510,Building,2022-11-16,144046,Declining Balance,5,130430.69,27,1,881,13,1,24,1
A16511,Equipment,2017-05-18,11560,Straight-Line,9,3869.59,29,7,11851,11,10,82,0
A16512,Furniture,2024-01-07,39154,Declining Balance,13,35346.94,16,0,15152,4,7,19,0
A16513,Machine,2011-02-16,159080,Declining Balance,19,-253390.47,10,13,6247,4,8,100,1
A16514,Vehicle,2016-07-07,152764,Straight-Line,9,39270.81,30,8,10132,10,5,26,0
A16515,Machine,2008-02-23,203188,Straight-Line,20,-472620.85,20,16,5708,8,9,67,0
A16516,Vehicle,2013-01-02,223192,Declining Balance,14,-144493.89,18,11,3135,8,1,60,1
A16517,Building,2018-12-01,43131,Straight-Line,18,-2301.9,13,5,13283,7,4,53,0
A16518,Equipment,2009-02-28,147675,Declining Balance,7,-13727.71,12,15,17204,6,10,79,1
A16519,Equipment,2006-09-04,42087,Declining Balance,5,3995.38,30,18,7496,0,3,51,1
A16520,Machine,2010-08-14,18405,Straight-Line,8,-2438.54,21,14,11369,14,8,52,0
A16521,Building,2014-12-14,118180,Straight-Line,10,2136.95,10,9,974,1,8,72,0
A16522,Machine,2018-05-10,144074,Declining Balance,12,33188.33,13,6,4585,12,8,91,0
A16523,Machine,2021-01-23,195860,Declining Balance,15,87036.96,6,3,3301,9,1,12,1
A16524,Equipment,2004-12-31,121163,Straight-Line,6,-22619.31,26,19,2234,0,7,9,0
A16525,Building,2015-03-23,101859,Straight-Line,12,-14846.3,24,9,15733,12,6,81,0
A16526,Furniture,2014-12-01,154429,Straight-Line,20,-149944.21,7,9,15845,9,7,23,1
A16527,Equipment,2021-05-29,98009,Straight-Line,14,51920.6,17,3,10634,11,4,28,0
A16528,Equipment,2021-07-01,98713,Declining Balance,13,56769.44,27,3,15611,9,8,98,0
A16529,Vehicle,2014-08-27,81898,Straight-Line,5,40466.59,7,10,18690,14,7,23,1
A16530,Vehicle,2020-06-21,166397,Declining Balance,15,59173.51,28,4,15101,14,4,2,0
A16531,Furniture,2024-05-09,76596,Straight-Line,5,75022.11,18,0,18999,12,2,92,1
A16532,Vehicle,2021-10-14,112984,Straight-Line,8,86041.19,15,2,4497,6,7,84,0
A16533,Equipment,2006-07-02,99401,Declining Balance,9,-64104.11,18,18,16272,14,7,2,0
A16534,Building,2022-01-18,120678,Straight-Line,9,91159.83,5,2,6739,4,2,80,1
A16535,Furniture,2008-12-15,30723,Straight-Line,7,-3297.88,9,15,8695,2,10,49,1
A16536,Furniture,2013-05-25,196321,Straight-Line,12,-71665.23,29,11,5857,5,4,79,0
A16537,Machine,2012-05-06,154551,Declining Balance,6,39311.0,24,12,10634,3,7,83,0
A16538,Machine,2006-08-03,36683,Declining Balance,6,-3350.72,23,18,17462,5,3,40,1
A16539,Equipment,2016-03-28,248416,Declining Balance,15,-69488.42,28,8,4380,12,3,29,1
A16540,Furniture,2017-10-21,11069,Declining Balance,5,7214.56,13,6,16007,8,4,33,0
